" questions_groups"," standard_questions","intent","question_variants","answers"
"Проезд к месту лечения","Полная информация проезде на поезде","railway_full_info","Дай полный текст памятки про ж/д","📌 Железнодорожное сообщение — ПАМЯТКА
Общая информация:
Права пассажиров регулируются: Законом РФ «О защите прав потребителей»; ФЗ «Устав железнодорожного транспорта РФ»; Постановлением Правительства РФ №810 от 27.05.2021; Правилами перевозок пассажиров, багажа и грузобагажа (приказ Минтранса №473 от 19.12.2013).
1️⃣ Покупка билета и оформление услуг:
Перед покупкой билета нужно сообщить координатору ДХ о поездке и подготовить консультативное заключение (лекарства, модель/тип коляски, аккумулятор). Пассажиры с инвалидностью могут оформить билеты на спецместа через сайт РЖД, указав СНИЛС; проверка идёт автоматически по Федеральному реестру инвалидов. Условия оформления на сайте РЖД: https://www.rzd.ru/ru/10046/page/103290?id=18976#main-header. Срок подачи заявки — с даты открытия продаж, но не позднее чем за 15 суток до отправления. Рассмотрение — до 2 рабочих дней. Выкупить билет в кассе нужно в течение 2 суток с даты резервирования (без учёта даты). Заявку можно подать по телефону Центра содействия мобильности ОАО «РЖД»: 8 (800) 775‑00‑00 (бесплатно). Не забудьте назвать номер СНИЛС. Если в выбранном поезде нет мест, перевозчик зарезервирует в другом по том же направлению. Обязательно отправить консультативное заключение ДХ на почту РЖД и подтвердить бронирование ТСР/лекарств. Доступно оформление билетов по талонам ФСС и Минсоц. Если с инвалидом едут больше 2 сопровождающих, третий и четвёртый билеты оформляются только в кассе одним заказом. В «Сапсане» и «Ласточке» есть места для кресел‑колясок и возможность пересесть в кресло; кресла‑каталки есть в специализированных купе и по заявке — во всех категориях вагонов.
2️⃣ Парковка у вокзала:
На бесплатной (нерегулируемой) парковке — размещение свободное при наличии мест. На автоматизированной парковке услуги бесплатны для авто с опознавательным знаком «Инвалид», если ими управляют или в них перевозятся инвалиды I–III групп или дети‑инвалиды. Информация об авто должна быть в федеральном реестре инвалидов. При себе иметь: документ, удостоверяющий личность, и документ об инвалидности (на себя или пассажира).
3️⃣ На вокзале (встреча и сопровождение):
Если в заявке указана встреча, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия. Помогут: с перемещением по вокзалу, оформлением билетов, багажом (до 2 мест до 36 кг в плацкарте/купе или до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой. Ведётся видео- и аудиозапись оказания услуги. Работники не являются медиками; не оказывают помощь в гигиенических процедурах, не остаются рядом постоянно, не распаковывают вещи и не берут деньги. Могут отказать в сопровождении, если нет документов об инвалидности или пассажир нарушает порядок.
4️⃣ Отказ от поездки и возврат билетов:
Можно вернуть весь заказ или отдельный билет. По тарифу «День Рождения» через личный кабинет можно вернуть только все билеты заказа одновременно. В вагоне Люкс возврат только при одновременном возврате всех билетов купе. Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно»: сначала возвращается билет «обратно», потом «туда»; вернуть только «обратно» можно, а только «туда» — нельзя (это возможно в кассе, см. п.13.2 Правил)."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Как правильно вернуть ненужные вещи обратно в хоспис?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Что делать, если я хочу вернуть лекарства или оборудование в хоспис?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Как оформить возврат расходных материалов обратно в хоспис?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Кто в хосписе занимается возвратом ненужных вещей от семьи?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Можно ли передать оборудование любому сотруднику хосписа?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Нужно ли оформлять документы при возврате вещей в хоспис?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Как сдать обратно лекарства или материалы в хоспис?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Куда возвращать ненужное оборудование, выданное хосписом?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Почему нельзя оставить вещи без оформления в дневном центре или стационаре?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Условия в хосписе","Возврат имущества хоспис","return_of_items_to_hospice","Кто оформляет акт возврата оборудования в хосписе?","Возврат ненужных вещей от семьи в хоспис организовывает только специалист по обеспечению с обязательным оформлением документов. Пожалуйста, не передавайте лекарства, расходные материалы и оборудование другим сотрудникам хосписа и не оставляйте их в стационаре, дневных центрах, респираторной службе или отделе физической терапии без оформления. Только специалист по обеспечению может оформить акт возврата, чтобы оборудование больше не числилось за семьёй."
"Няня","Заказ няни","nanny_visit_request","Как оформить заявку на визит няни от хосписа?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","До какого времени можно подать заявку на няню на следующую неделю?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","Где посмотреть критерии приоритетности для визита няни?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","В какие дни недели работают няни и ассистенты хосписа?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","Сколько часов длится визит няни?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","Можно ли вызвать няню в выходной или ночью?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","На каком сайте можно заполнить заявку на визит няни?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","Няни хосписа выезжают за пределы МКАД?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","Как уточнить возможность визита няни, если мы живем далеко?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Заказ няни","nanny_visit_request","Какие условия для подачи заявки на няню из Московской области?","Заявку на визит няни на следующую неделю нужно оформить до 10:00 четверга текущей недели. Услуги нянь/ассистентов предоставляются в зависимости от приоритетности заявок. Посмотреть критерии приоритетности и заполнить заявку можно на сайте: https://mayak.help/parents/nanny/ (для семей из Московской области). Няни и ассистенты работают по будням с 9:00 до 21:00, продолжительность визита – от 8 до 12 часов. В исключительных случаях мы готовы предоставить няню в выходной день или ночное время. Обычно няни выезжают в пределах 35 км от МКАД, но иногда няня может взять визит за пределами этой зоны, если живёт рядом с семьей. Уточнить это можно у руководителя команды района."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Чем именно занимаются няни и ассистенты хосписа?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Помогают ли няни и ассистенты с хозяйством или уборкой?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Могут ли няни сходить в магазин или приготовить еду?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Ухаживают ли няни за другими детьми семьи?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Какие навыки есть у нянь и ассистентов хосписа?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Могут ли няни поиграть с ребёнком или посмотреть фильм?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Оказывают ли няни и ассистенты первую помощь?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Что входит в обязанности няни для пациента хосписа?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Няня","Что делает няня","nanny_and_assistant_responsibilities","Чего не делают няни и ассистенты во время визита?","Няни и ассистенты «Дома с маяком» постоянно проходят обучение, владеют навыками ухода, кормления, оказания первой помощи, а также всегда рады поиграть с ребёнком или, например, посмотреть фильм со взрослым пациентом. Они не занимаются хозяйством, не ходят в магазин и не помогают следить за другими детьми – они занимаются только уходом и развивающими занятиями с пациентом хосписа."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","С кем обсудить, как помочь ребёнку найти друзей?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","К кому обратиться, чтобы поговорить про социализацию моего ребёнка?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","Кто может помочь наладить общение ребёнка с окружающими?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","Кто подскажет, как ребёнку лучше общаться и какие средства коммуникации использовать?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","С кем обсудить, как научить ребёнка общаться эффективнее?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","К кому обратиться по вопросам подбора вспомогательных средств для общения?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","С кем можно поговорить про хобби и увлечения ребёнка?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","Кто может помочь исполнить мечту ребёнка?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","К кому обратиться, чтобы обсудить желания и стремления ребёнка?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","К кому обратиться, чтобы ребёнок чаще гулял и путешествовал?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","С кем обсудить поездки и посещение общественных мест?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","Кто может помочь организовать отдых и путешествия для ребёнка?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","К кому обратиться, чтобы поговорить про обучение ребёнка?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","Кто может помочь с выбором профессии для молодого взрослого?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","С кем обсудить вопросы образования и будущей работы?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
"Социализация ребенка","К кому обратиться","questions_about_case_manager_support","Кто может помочь подобрать спортивные секции или кружки?","Вам необходимо обратиться к вашему кейс-менеджеру по данному вопросу. Его контактные данные вы можете найти в разделе «Мой маяк»."
